Student_ID,Status,Is_Dropout,Skor_Risiko,Level_Risiko,Program_Studi,Jalur_Masuk,Kelas,Gender_Label,Kelompok_Usia,Age_at_enrollment,Status_Pernikahan,Debtor_Label,Tuition_fees_up_to_date_Label,Scholarship_holder_Label,Displaced_Label,Educational_special_needs_Label,International_Label,Admission_grade,Previous_qualification_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Approval_Rate,Rata_Nilai,Kategori_Performa,Unemployment_rate,Inflation_rate,GDP
STD-0011,Graduate,0,7.0,Rendah,Advertising & Marketing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,130.6,139.0,6,6,12.333333333333334,6,5,14.2,91.7,13.27,Baik (>75%),13.9,-0.3,0.79
STD-0012,Graduate,0,2.1,Rendah,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,119.3,136.0,8,7,13.214285714285714,8,7,13.214285714285714,87.5,13.21,Baik (>75%),12.7,3.7,-1.7
STD-0013,Dropout,1,97.6,Tinggi,Basic Education,1st phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,130.2,133.0,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),12.7,3.7,-1.7
STD-0014,Graduate,0,5.0,Rendah,Tourism,Short cycle holder,Reguler (Siang),Perempuan,21-23,21,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,111.8,110.0,6,6,10.571428571428571,6,5,11.0,91.7,10.79,Baik (>75%),8.9,1.4,3.51
STD-0015,Graduate,0,3.4,Rendah,Veterinary Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,137.1,149.0,5,4,13.25,5,5,12.0,90.0,12.62,Baik (>75%),10.8,1.4,1.74
STD-0016,Dropout,1,83.3,Tinggi,Journalism & Comm,1st phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,120.7,127.0,6,5,13.2,6,0,0.0,41.7,6.6,Rendah (25-50%),15.5,2.8,-4.06
STD-0017,Enrolled,0,42.5,Sedang,Social Service,3rd phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,137.4,137.0,6,1,12.0,6,2,11.0,25.0,11.5,Kritis (<25%),10.8,1.4,1.74
STD-0018,Graduate,0,2.2,Rendah,Nursing,2nd phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,127.3,135.0,7,7,13.30625,8,8,14.545,100.0,13.93,Baik (>75%),15.5,2.8,-4.06
STD-0019,Graduate,0,3.9,Rendah,Equinculture,1st phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,136.3,137.0,5,4,12.5,5,4,12.25,80.0,12.38,Baik (>75%),10.8,1.4,1.74
STD-0020,Enrolled,0,4.2,Rendah,Basic Education,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,124.6,140.0,7,6,11.666666666666666,7,6,13.5,85.7,12.58,Baik (>75%),16.2,0.3,-0.92
STD-0021,Graduate,0,56.3,Sedang,Animation & Multimedia,1st phase - general,Reguler (Siang),Perempuan,21-23,21,Single,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,120.3,122.0,0,0,0.0,0,0,0.0,0.0,0.0,Kritis (<25%),11.1,0.6,2.02
STD-0022,Enrolled,0,7.8,Rendah,Oral Hygiene,3rd phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,121.8,127.0,7,7,11.4375,8,8,11.425,100.0,11.43,Baik (>75%),12.7,3.7,-1.7
STD-0023,Graduate,0,5.2,Rendah,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,125.5,142.0,8,7,12.857142857142858,8,7,12.857142857142858,87.5,12.86,Baik (>75%),12.7,3.7,-1.7
STD-0024,Graduate,0,2.2,Rendah,Advertising & Marketing,1st phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,114.9,125.0,6,6,13.375,6,6,12.285714285714286,100.0,12.83,Baik (>75%),11.1,0.6,2.02
STD-0025,Graduate,0,4.0,Rendah,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,123.9,126.0,7,6,13.296666666666669,8,7,14.114285714285714,86.7,13.71,Baik (>75%),11.1,0.6,2.02
STD-0026,Enrolled,0,21.6,Rendah,Social Service,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Ya,Lunas,Ya,Ya,Tidak,Domestik,157.0,151.0,6,5,11.6,6,4,11.0,75.0,11.3,Sedang (50-75%),7.6,2.6,0.32
STD-0027,Graduate,0,2.2,Rendah,Social Service,2nd phase - general,Reguler (Siang),Perempuan,21-23,21,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,116.4,115.0,6,6,11.375,6,6,13.285714285714286,100.0,12.33,Baik (>75%),16.2,0.3,-0.92
STD-0028,Enrolled,0,5.5,Rendah,Veterinary Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,131.0,138.0,5,5,12.666666666666666,5,4,13.0,90.0,12.83,Baik (>75%),9.4,-0.8,-3.12
STD-0029,Graduate,0,2.9,Rendah,Management,1st phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,122.1,135.0,5,5,12.0,5,5,12.333333333333334,100.0,12.17,Baik (>75%),16.2,0.3,-0.92
STD-0030,Enrolled,0,5.5,Rendah,Nursing,2nd phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,118.8,127.0,7,6,12.933333333333332,7,6,13.716666666666669,85.7,13.32,Baik (>75%),16.2,0.3,-0.92
STD-0031,Enrolled,0,24.5,Rendah,Agronomy,Tech. specialization holder,Reguler (Siang),Laki-laki,21-23,21,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,150.0,150.0,6,5,11.857142857142858,6,5,10.571428571428571,83.3,11.21,Baik (>75%),16.2,0.3,-0.92
STD-0032,Graduate,0,25.7,Rendah,Communication Design,Change of institution/course,Reguler (Siang),Laki-laki,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,130.0,125.0,6,6,12.833333333333334,6,4,13.4,83.3,13.12,Baik (>75%),8.9,1.4,3.51
STD-0033,Enrolled,0,85.3,Tinggi,Management,1st phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Tidak,Menunggak,Tidak,Tidak,Tidak,Domestik,138.8,143.0,5,3,11.333333333333334,5,2,13.5,50.0,12.42,Rendah (25-50%),8.9,1.4,3.51
STD-0034,Graduate,0,2.7,Rendah,Social Service (eve),3rd phase - general,Kelas Malam,Perempuan,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,134.5,138.0,6,6,12.666666666666666,6,6,14.375,100.0,13.52,Baik (>75%),12.4,0.5,1.79
STD-0035,Graduate,0,16.0,Rendah,Management (evening),1st phase - general,Kelas Malam,Laki-laki,28-35,34,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,131.4,130.0,5,5,12.4,5,5,13.428571428571429,100.0,12.91,Baik (>75%),13.9,-0.3,0.79
STD-0036,Dropout,1,96.9,Tinggi,Biofuel Production Tech,Over 23 years old,Reguler (Siang),Laki-laki,>35,37,Single,Ya,Menunggak,Tidak,Tidak,Tidak,Domestik,102.5,130.0,7,0,0.0,7,1,10.0,7.1,5.0,Kritis (<25%),8.9,1.4,3.51
STD-0037,Dropout,1,97.9,Tinggi,Informatics Engineering,Over 23 years old,Reguler (Siang),Laki-laki,>35,43,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,128.8,133.1,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),7.6,2.6,0.32
STD-0038,Dropout,1,67.6,Tinggi,Management,Change of course,Reguler (Siang),Perempuan,>35,55,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,122.9,140.0,5,1,10.0,5,2,12.0,30.0,11.0,Rendah (25-50%),16.2,0.3,-0.92
STD-0039,Graduate,0,3.2,Rendah,Management (evening),Over 23 years old,Kelas Malam,Perempuan,>35,39,Divorced,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,113.9,120.0,5,5,11.0,5,5,11.6,100.0,11.3,Baik (>75%),7.6,2.6,0.32
STD-0040,Dropout,1,88.5,Tinggi,Equinculture,Tech. specialization holder,Reguler (Siang),Perempuan,<=20,20,Single,Ya,Menunggak,Tidak,Tidak,Tidak,Internasional,120.0,120.0,6,3,11.666666666666666,6,3,12.0,50.0,11.83,Rendah (25-50%),12.4,0.5,1.79
STD-0041,Dropout,1,89.2,Tinggi,Journalism & Comm,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,121.1,126.0,6,4,12.75,5,0,0.0,36.4,6.38,Rendah (25-50%),12.7,3.7,-1.7
STD-0042,Graduate,0,4.5,Rendah,Management,1st phase - general,Reguler (Siang),Perempuan,21-23,22,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,120.4,133.0,5,5,14.8,5,5,15.8,100.0,15.3,Baik (>75%),8.9,1.4,3.51
STD-0043,Graduate,0,3.9,Rendah,Nursing,1st phase - general,Reguler (Siang),Perempuan,21-23,22,Single,Tidak,Lunas,Tidak,Ya,Ya,Domestik,100.6,103.0,7,5,13.928,8,7,14.342857142857142,80.0,14.14,Baik (>75%),11.1,0.6,2.02
STD-0044,Dropout,1,54.1,Sedang,Journalism & Comm,2nd phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Menunggak,Tidak,Tidak,Tidak,Domestik,121.4,120.0,6,4,13.0,6,5,13.8,75.0,13.4,Sedang (50-75%),12.4,0.5,1.79
STD-0045,Dropout,1,98.3,Tinggi,Management (evening),Over 23 years old,Kelas Malam,Perempuan,28-35,29,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,109.7,133.1,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),16.2,0.3,-0.92
STD-0046,Enrolled,0,31.9,Sedang,Management (evening),2nd phase - general,Kelas Malam,Perempuan,24-27,24,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,134.1,154.0,5,2,11.5,5,3,14.333333333333334,50.0,12.92,Rendah (25-50%),7.6,2.6,0.32
STD-0047,Graduate,0,6.4,Rendah,Social Service,2nd phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,127.6,130.0,6,6,11.666666666666666,6,5,13.2,91.7,12.43,Baik (>75%),11.1,0.6,2.02
STD-0048,Graduate,0,4.0,Rendah,Nursing,2nd phase - general,Reguler (Siang),Perempuan,21-23,22,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,132.4,132.0,7,6,13.516666666666666,8,7,13.771428571428572,86.7,13.64,Baik (>75%),11.1,0.6,2.02
STD-0049,Graduate,0,1.7,Rendah,Social Service (eve),Tech. specialization holder,Kelas Malam,Perempuan,21-23,21,Single,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,133.4,130.0,6,6,11.5,6,6,13.285714285714286,100.0,12.39,Baik (>75%),12.4,0.5,1.79
STD-0050,Graduate,0,2.6,Rendah,Social Service,1st phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,126.1,139.0,6,5,12.333333333333334,6,6,12.833333333333334,91.7,12.58,Baik (>75%),12.7,3.7,-1.7
STD-0051,Graduate,0,2.0,Rendah,Tourism,Over 23 years old,Reguler (Siang),Perempuan,24-27,24,Single,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,113.5,130.0,6,6,13.666666666666666,6,6,14.166666666666666,100.0,13.92,Baik (>75%),12.4,0.5,1.79
STD-0052,Enrolled,0,2.2,Rendah,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,121.3,139.0,8,6,11.833333333333334,8,6,11.833333333333334,75.0,11.83,Sedang (50-75%),9.4,-0.8,-3.12
STD-0053,Enrolled,0,14.0,Rendah,Journalism & Comm,1st phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,121.8,127.0,6,4,14.0,6,3,11.0,58.3,12.5,Sedang (50-75%),9.4,-0.8,-3.12
STD-0054,Graduate,0,10.4,Rendah,Equinculture,1st phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,159.3,167.0,5,5,14.714285714285714,5,5,15.8,100.0,15.26,Baik (>75%),7.6,2.6,0.32
STD-0055,Dropout,1,7.9,Rendah,Management (evening),Over 23 years old,Kelas Malam,Perempuan,24-27,27,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,120.0,130.0,5,5,10.6,5,5,11.0,100.0,10.8,Baik (>75%),9.4,-0.8,-3.12
STD-0056,Graduate,0,5.7,Rendah,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,129.1,130.0,7,7,13.044444444444444,8,8,13.595,100.0,13.32,Baik (>75%),15.5,2.8,-4.06
STD-0057,Dropout,1,94.5,Tinggi,Tourism,Holder of other higher course,Reguler (Siang),Perempuan,>35,39,Married,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,130.0,130.0,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),12.4,0.5,1.79
STD-0058,Dropout,1,15.3,Rendah,Equinculture,Over 23 years old,Reguler (Siang),Perempuan,24-27,27,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,155.3,129.0,6,5,13.0,11,10,12.9,88.2,12.95,Baik (>75%),12.4,0.5,1.79
STD-0059,Graduate,0,4.4,Rendah,Nursing,2nd phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,139.8,141.0,8,8,14.935,8,8,14.935,100.0,14.94,Baik (>75%),9.4,-0.8,-3.12
STD-0060,Enrolled,0,28.2,Rendah,Animation & Multimedia,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,115.2,125.0,0,0,0.0,0,0,0.0,0.0,0.0,Kritis (<25%),7.6,2.6,0.32
STD-0061,Graduate,0,3.1,Rendah,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,114.9,125.0,7,6,13.133333333333333,8,7,12.221428571428572,86.7,12.68,Baik (>75%),16.2,0.3,-0.92
STD-0062,Graduate,0,2.7,Rendah,Social Service,Tech. specialization holder,Reguler (Siang),Perempuan,21-23,21,Single,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,131.9,130.0,6,6,12.0,6,6,12.0,100.0,12.0,Baik (>75%),13.9,-0.3,0.79
STD-0063,Enrolled,0,52.6,Sedang,Animation & Multimedia,2nd phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,126.0,133.0,0,0,0.0,0,0,0.0,0.0,0.0,Kritis (<25%),10.8,1.4,1.74
STD-0064,Enrolled,0,59.5,Sedang,Communication Design,2nd phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,130.2,127.0,6,5,11.4,6,1,10.0,50.0,10.7,Rendah (25-50%),10.8,1.4,1.74
STD-0065,Enrolled,0,91.1,Tinggi,Communication Design,Change of course,Reguler (Siang),Laki-laki,24-27,24,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,120.9,116.0,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),12.7,3.7,-1.7
STD-0066,Dropout,1,66.0,Tinggi,Nursing,Transfer,Reguler (Siang),Laki-laki,28-35,29,Divorced,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,126.0,133.1,7,5,11.9,8,5,11.0,66.7,11.45,Sedang (50-75%),13.9,-0.3,0.79
STD-0067,Graduate,0,37.1,Sedang,Animation & Multimedia,1st phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,128.2,139.0,0,0,0.0,0,0,0.0,0.0,0.0,Kritis (<25%),10.8,1.4,1.74
STD-0068,Graduate,0,2.8,Rendah,Agronomy,Tech. specialization holder,Reguler (Siang),Laki-laki,21-23,23,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,130.0,130.0,6,6,12.571428571428571,6,6,12.428571428571429,100.0,12.5,Baik (>75%),8.9,1.4,3.51
STD-0069,Dropout,1,23.5,Rendah,Management,1st phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,120.1,125.0,5,5,11.2,5,4,10.75,90.0,10.98,Baik (>75%),16.2,0.3,-0.92
STD-0070,Enrolled,0,13.6,Rendah,Tourism,Over 23 years old,Reguler (Siang),Laki-laki,24-27,26,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,100.0,160.0,6,6,12.0,6,5,10.8,91.7,11.4,Baik (>75%),12.7,3.7,-1.7
STD-0071,Enrolled,0,89.0,Tinggi,Management,2nd phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,134.0,148.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),7.6,2.6,0.32
STD-0072,Graduate,0,13.1,Rendah,Nursing,2nd phase - general,Reguler (Siang),Laki-laki,24-27,24,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,130.8,150.0,7,7,11.975,8,8,13.75,100.0,12.86,Baik (>75%),13.9,-0.3,0.79
STD-0073,Dropout,1,35.0,Sedang,Animation & Multimedia,1st phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,135.8,141.0,0,0,0.0,0,0,0.0,0.0,0.0,Kritis (<25%),15.5,2.8,-4.06
STD-0074,Dropout,1,88.9,Tinggi,Tourism,2nd phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,111.7,118.0,6,3,11.666666666666666,6,1,12.0,33.3,11.83,Rendah (25-50%),12.4,0.5,1.79
STD-0075,Graduate,0,22.8,Rendah,Journalism & Comm,1st phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,132.9,142.0,6,6,12.333333333333334,6,3,12.333333333333334,75.0,12.33,Sedang (50-75%),10.8,1.4,1.74
STD-0076,Dropout,1,47.8,Sedang,Management,2nd phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Ya,Lunas,Tidak,Ya,Tidak,Domestik,115.5,120.0,5,3,10.333333333333334,5,3,10.857142857142858,60.0,10.6,Sedang (50-75%),10.8,1.4,1.74
STD-0077,Dropout,1,61.0,Tinggi,Tourism,3rd phase - general,Reguler (Siang),Laki-laki,21-23,21,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,106.0,106.0,6,4,10.5,6,1,11.0,41.7,10.75,Rendah (25-50%),9.4,-0.8,-3.12
STD-0078,Graduate,0,3.9,Rendah,Journalism & Comm,2nd phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Ya,Lunas,Ya,Ya,Tidak,Domestik,120.3,121.0,6,6,13.666666666666666,6,6,13.333333333333334,100.0,13.5,Baik (>75%),8.9,1.4,3.51
STD-0079,Graduate,0,6.5,Rendah,Nursing,2nd phase - general,Reguler (Siang),Laki-laki,21-23,22,Single,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,130.8,150.0,7,7,14.842857142857142,8,8,15.055555555555555,100.0,14.95,Baik (>75%),16.2,0.3,-0.92
STD-0080,Graduate,0,1.2,Rendah,Social Service (eve),Over 23 years old,Kelas Malam,Laki-laki,28-35,33,Married,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,117.0,120.0,6,6,12.0,6,6,11.666666666666666,100.0,11.83,Baik (>75%),10.8,1.4,1.74
STD-0081,Dropout,1,8.3,Rendah,Basic Education,1st phase - general,Reguler (Siang),Laki-laki,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,110.2,114.0,6,5,12.2,6,5,12.2,83.3,12.2,Baik (>75%),10.8,1.4,1.74
STD-0082,Dropout,1,95.0,Tinggi,Management (evening),Over 23 years old,Kelas Malam,Laki-laki,28-35,35,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,155.7,140.0,1,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),10.8,1.4,1.74
STD-0083,Dropout,1,12.3,Rendah,Agronomy,Over 23 years old,Reguler (Siang),Laki-laki,24-27,24,Single,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,180.4,160.0,12,6,12.166666666666666,12,10,13.3,66.7,12.73,Sedang (50-75%),12.4,0.5,1.79
STD-0084,Enrolled,0,25.7,Rendah,Tourism,2nd phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,125.5,120.0,5,5,12.0,5,3,11.333333333333334,80.0,11.67,Baik (>75%),12.7,3.7,-1.7
STD-0085,Graduate,0,22.7,Rendah,Social Service (eve),Over 23 years old,Kelas Malam,Perempuan,28-35,33,Married,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,110.0,130.0,6,6,11.0,6,5,11.0,91.7,11.0,Baik (>75%),9.4,-0.8,-3.12
STD-0086,Graduate,0,2.9,Rendah,Nursing,Transfer,Reguler (Siang),Perempuan,21-23,22,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,161.0,160.0,8,7,13.08,8,7,13.08,87.5,13.08,Baik (>75%),10.8,1.4,1.74
STD-0087,Graduate,0,4.8,Rendah,Advertising & Marketing,Over 23 years old,Reguler (Siang),Perempuan,24-27,25,Single,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,100.0,120.0,5,4,10.5,5,5,11.6,90.0,11.05,Baik (>75%),9.4,-0.8,-3.12
STD-0088,Graduate,0,2.6,Rendah,Communication Design,2nd phase - general,Reguler (Siang),Laki-laki,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,117.6,124.0,6,6,10.666666666666666,6,5,11.2,91.7,10.93,Baik (>75%),7.6,2.6,0.32
STD-0089,Enrolled,0,15.9,Rendah,Management,1st phase - general,Reguler (Siang),Laki-laki,21-23,23,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,128.7,143.0,5,4,14.0,5,5,13.8,90.0,13.9,Baik (>75%),11.1,0.6,2.02
STD-0090,Enrolled,0,89.3,Tinggi,Informatics Engineering,Change of course,Reguler (Siang),Laki-laki,<=20,18,Single,Ya,Lunas,Tidak,Ya,Tidak,Domestik,112.2,115.0,5,2,10.0,5,0,0.0,20.0,5.0,Kritis (<25%),15.5,2.8,-4.06
STD-0091,Dropout,1,90.8,Tinggi,Nursing,Over 23 years old,Reguler (Siang),Laki-laki,24-27,24,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,100.8,133.1,7,0,0.0,7,0,0.0,0.0,0.0,Kritis (<25%),13.9,-0.3,0.79
