Student_ID,Status,Kohort,Is_Dropout,Skor_Risiko,Level_Risiko,Program_Studi,Jalur_Masuk,Kelas,Gender_Label,Kelompok_Usia,Age_at_enrollment,Status_Pernikahan,Debtor_Label,Tuition_fees_up_to_date_Label,Scholarship_holder_Label,Displaced_Label,Educational_special_needs_Label,International_Label,Admission_grade,Previous_qualification_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Approval_Rate,Rata_Nilai,Kategori_Performa,Unemployment_rate,Inflation_rate,GDP
STD-4120,Enrolled,Masih Aktif,,99.9,Tinggi,Oral Hygiene,Over 23 years old,Reguler (Siang),Perempuan,24-27,26,Married,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,112.8,110.0,7,0,0.0,8,0,0.0,0.0,0.0,Kritis (<25%),10.8,1.4,1.74
STD-4112,Enrolled,Masih Aktif,,99.9,Tinggi,Agronomy,Tech. specialization holder,Reguler (Siang),Laki-laki,24-27,26,Single,Ya,Lunas,Tidak,Ya,Tidak,Domestik,140.0,140.0,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),8.9,1.4,3.51
STD-4343,Enrolled,Masih Aktif,,99.9,Tinggi,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,108.3,103.0,7,0,0.0,7,0,0.0,0.0,0.0,Kritis (<25%),11.1,0.6,2.02
STD-4277,Enrolled,Masih Aktif,,99.9,Tinggi,Informatics Engineering,1st phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,125.7,140.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),9.4,-0.8,-3.12
STD-3689,Enrolled,Masih Aktif,,99.9,Tinggi,Agronomy,Over 23 years old,Reguler (Siang),Perempuan,28-35,30,Single,Ya,Lunas,Ya,Tidak,Tidak,Domestik,130.0,133.1,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),11.1,0.6,2.02
STD-3793,Enrolled,Masih Aktif,,99.9,Tinggi,Veterinary Nursing,Over 23 years old,Reguler (Siang),Perempuan,28-35,28,Single,Ya,Lunas,Tidak,Ya,Tidak,Domestik,129.3,140.0,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),8.9,1.4,3.51
STD-4276,Enrolled,Masih Aktif,,99.9,Tinggi,Nursing,Over 23 years old,Reguler (Siang),Laki-laki,28-35,33,Married,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,100.0,133.1,7,5,13.06,7,0,0.0,35.7,6.53,Rendah (25-50%),16.2,0.3,-0.92
STD-4168,Enrolled,Masih Aktif,,99.9,Tinggi,Nursing,2nd phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,133.0,138.0,8,0,0.0,8,0,0.0,0.0,0.0,Kritis (<25%),9.4,-0.8,-3.12
STD-3650,Enrolled,Masih Aktif,,99.9,Tinggi,Informatics Engineering,Change of course,Reguler (Siang),Laki-laki,<=20,18,Single,Ya,Lunas,Tidak,Ya,Tidak,Domestik,112.2,115.0,5,2,10.0,5,0,0.0,20.0,5.0,Kritis (<25%),15.5,2.8,-4.06
STD-4329,Enrolled,Masih Aktif,,99.9,Tinggi,Communication Design,2nd phase - general,Reguler (Siang),Laki-laki,21-23,22,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,122.6,125.0,6,1,11.0,6,0,0.0,8.3,5.5,Kritis (<25%),9.4,-0.8,-3.12
STD-4034,Enrolled,Masih Aktif,,99.9,Tinggi,Informatics Engineering,Tech. specialization holder,Reguler (Siang),Laki-laki,21-23,23,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,140.0,140.0,7,3,14.0,6,1,14.0,30.8,14.0,Rendah (25-50%),12.4,0.5,1.79
STD-4055,Enrolled,Masih Aktif,,99.8,Tinggi,Informatics Engineering,2nd phase - general,Reguler (Siang),Laki-laki,<=20,20,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,115.8,127.0,5,4,11.5,5,0,0.0,40.0,5.75,Rendah (25-50%),13.9,-0.3,0.79
STD-4424,Enrolled,Masih Aktif,,99.8,Tinggi,Biofuel Production Tech,Change of course,Reguler (Siang),Laki-laki,24-27,25,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,121.2,143.0,10,5,11.6,8,2,13.0,38.9,12.3,Rendah (25-50%),12.4,0.5,1.79
STD-4402,Enrolled,Masih Aktif,,99.8,Tinggi,Veterinary Nursing,1st phase - general,Reguler (Siang),Laki-laki,21-23,21,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,105.0,133.1,6,3,11.25,6,0,0.0,25.0,5.62,Kritis (<25%),12.4,0.5,1.79
STD-3942,Enrolled,Masih Aktif,,99.8,Tinggi,Management,Change of institution/course,Reguler (Siang),Laki-laki,28-35,32,Single,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,115.2,116.0,7,3,12.0,8,3,10.333333333333334,40.0,11.17,Rendah (25-50%),8.9,1.4,3.51
STD-3930,Enrolled,Masih Aktif,,99.8,Tinggi,Veterinary Nursing,Tech. specialization holder,Reguler (Siang),Perempuan,24-27,24,Single,Ya,Menunggak,Tidak,Tidak,Tidak,Domestik,140.0,140.0,6,4,12.5,6,2,11.5,50.0,12.0,Rendah (25-50%),12.4,0.5,1.79
STD-3963,Enrolled,Masih Aktif,,99.8,Tinggi,Informatics Engineering,Over 23 years old,Reguler (Siang),Laki-laki,28-35,34,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,125.9,110.0,5,0,0.0,5,1,11.0,10.0,5.5,Kritis (<25%),10.8,1.4,1.74
STD-3801,Enrolled,Masih Aktif,,99.8,Tinggi,Informatics Engineering,2nd phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Ya,Menunggak,Tidak,Ya,Tidak,Domestik,116.9,120.0,5,3,12.0,5,3,10.333333333333334,60.0,11.17,Sedang (50-75%),8.9,1.4,3.51
STD-4228,Enrolled,Masih Aktif,,99.8,Tinggi,Journalism & Comm,2nd phase - general,Reguler (Siang),Laki-laki,21-23,21,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,132.5,129.0,6,0,0.0,6,1,10.0,8.3,5.0,Kritis (<25%),10.8,1.4,1.74
STD-3837,Enrolled,Masih Aktif,,99.8,Tinggi,Informatics Engineering,Over 23 years old,Reguler (Siang),Laki-laki,24-27,25,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,100.0,133.1,5,1,11.0,5,1,10.0,20.0,10.5,Kritis (<25%),13.9,-0.3,0.79
STD-4118,Enrolled,Masih Aktif,,99.8,Tinggi,Advertising & Marketing,2nd phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,108.0,109.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),7.6,2.6,0.32
STD-4088,Enrolled,Masih Aktif,,99.7,Tinggi,Social Service,1st phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,126.0,133.0,6,1,12.0,5,0,0.0,9.1,6.0,Kritis (<25%),9.4,-0.8,-3.12
STD-4128,Enrolled,Masih Aktif,,99.7,Tinggi,Agronomy,Tech. specialization holder,Reguler (Siang),Laki-laki,21-23,23,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,120.0,120.0,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),15.5,2.8,-4.06
STD-3983,Enrolled,Masih Aktif,,99.7,Tinggi,Management (evening),Over 23 years old,Kelas Malam,Perempuan,28-35,34,Married,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,130.0,140.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),9.4,-0.8,-3.12
STD-3798,Enrolled,Masih Aktif,,99.7,Tinggi,Social Service,Over 23 years old,Reguler (Siang),Perempuan,28-35,31,Married,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,130.0,133.1,6,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),9.4,-0.8,-3.12
STD-3956,Enrolled,Masih Aktif,,99.7,Tinggi,Management,2nd phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,138.6,162.0,5,1,11.0,5,0,0.0,10.0,5.5,Kritis (<25%),12.7,3.7,-1.7
STD-4304,Enrolled,Masih Aktif,,99.7,Tinggi,Agronomy,Tech. specialization holder,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,120.0,120.0,6,1,11.0,6,0,0.0,8.3,5.5,Kritis (<25%),16.2,0.3,-0.92
STD-4041,Enrolled,Masih Aktif,,99.7,Tinggi,Informatics Engineering,Change of institution/course,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,121.6,129.0,5,0,0.0,5,1,10.0,10.0,5.0,Kritis (<25%),7.6,2.6,0.32
STD-3895,Enrolled,Masih Aktif,,99.7,Tinggi,Management,2nd phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Ya,Lunas,Tidak,Ya,Tidak,Domestik,143.6,139.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),7.6,2.6,0.32
STD-4140,Enrolled,Masih Aktif,,99.7,Tinggi,Management (evening),Over 23 years old,Kelas Malam,Laki-laki,28-35,29,Divorced,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,127.6,130.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),7.6,2.6,0.32
STD-4337,Enrolled,Masih Aktif,,99.6,Tinggi,Management,Change of course,Reguler (Siang),Laki-laki,21-23,23,Single,Tidak,Lunas,Tidak,Ya,Tidak,Internasional,124.2,127.0,5,1,10.0,5,0,0.0,10.0,5.0,Kritis (<25%),15.5,2.8,-4.06
STD-4279,Enrolled,Masih Aktif,,99.6,Tinggi,Management,1st phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,116.7,124.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),7.6,2.6,0.32
STD-4226,Enrolled,Masih Aktif,,99.6,Tinggi,Informatics Engineering,Over 23 years old,Reguler (Siang),Laki-laki,28-35,34,Facto Union,Ya,Lunas,Ya,Tidak,Tidak,Domestik,116.0,120.0,5,1,17.0,5,2,11.0,30.0,14.0,Rendah (25-50%),9.4,-0.8,-3.12
STD-4261,Enrolled,Masih Aktif,,99.6,Tinggi,Agronomy,Over 23 years old,Reguler (Siang),Laki-laki,24-27,27,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,140.0,160.0,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),11.1,0.6,2.02
STD-3977,Enrolled,Masih Aktif,,99.5,Tinggi,Nursing,3rd phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,125.8,128.0,8,0,0.0,8,0,0.0,0.0,0.0,Kritis (<25%),9.4,-0.8,-3.12
STD-3838,Enrolled,Masih Aktif,,99.5,Tinggi,Advertising & Marketing,Short cycle holder,Reguler (Siang),Perempuan,21-23,21,Single,Ya,Lunas,Tidak,Ya,Tidak,Domestik,140.0,140.0,6,1,12.0,6,1,11.0,16.7,11.5,Kritis (<25%),8.9,1.4,3.51
STD-4048,Enrolled,Masih Aktif,,99.5,Tinggi,Animation & Multimedia,1st phase - general,Reguler (Siang),Laki-laki,21-23,23,Single,Ya,Lunas,Tidak,Ya,Tidak,Domestik,127.2,131.0,17,13,12.153846153846152,17,11,11.909090909090908,70.6,12.03,Sedang (50-75%),11.1,0.6,2.02
STD-4410,Enrolled,Masih Aktif,,99.5,Tinggi,Journalism & Comm,1st phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,117.1,129.0,6,1,17.0,6,1,17.0,16.7,17.0,Kritis (<25%),9.4,-0.8,-3.12
STD-3980,Enrolled,Masih Aktif,,99.5,Tinggi,Social Service,Change of institution/course,Reguler (Siang),Perempuan,<=20,20,Single,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,112.6,122.0,11,8,12.625,10,3,11.0,52.4,11.81,Sedang (50-75%),11.1,0.6,2.02
STD-4246,Enrolled,Masih Aktif,,99.5,Tinggi,Management,2nd phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,133.4,139.0,5,1,11.0,5,0,0.0,10.0,5.5,Kritis (<25%),9.4,-0.8,-3.12
STD-4383,Enrolled,Masih Aktif,,99.4,Tinggi,Management (evening),1st phase - general,Kelas Malam,Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,118.4,131.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),7.6,2.6,0.32
STD-4025,Enrolled,Masih Aktif,,99.3,Tinggi,Nursing,Change of course,Reguler (Siang),Laki-laki,21-23,21,Single,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,124.1,136.0,8,0,0.0,8,0,0.0,0.0,0.0,Kritis (<25%),9.4,-0.8,-3.12
STD-3647,Enrolled,Masih Aktif,,99.3,Tinggi,Management,2nd phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,134.0,148.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),7.6,2.6,0.32
STD-4164,Enrolled,Masih Aktif,,99.3,Tinggi,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,127.0,136.0,8,1,13.67,8,1,13.67,12.5,13.67,Kritis (<25%),9.4,-0.8,-3.12
STD-3979,Enrolled,Masih Aktif,,99.3,Tinggi,Basic Education,2nd phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,128.2,146.0,6,4,13.25,6,3,10.666666666666666,58.3,11.96,Sedang (50-75%),12.7,3.7,-1.7
STD-4382,Enrolled,Masih Aktif,,99.2,Tinggi,Basic Education,2nd phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Ya,Lunas,Tidak,Ya,Tidak,Domestik,121.8,127.0,6,4,13.5,6,3,10.666666666666666,58.3,12.08,Sedang (50-75%),10.8,1.4,1.74
STD-4353,Enrolled,Masih Aktif,,99.2,Tinggi,Animation & Multimedia,2nd phase - general,Reguler (Siang),Perempuan,21-23,22,Single,Ya,Lunas,Tidak,Ya,Tidak,Domestik,135.5,146.0,17,12,11.833333333333334,17,11,11.25,67.6,11.54,Sedang (50-75%),11.1,0.6,2.02
STD-3663,Enrolled,Masih Aktif,,99.1,Tinggi,Agronomy,Over 23 years old,Reguler (Siang),Perempuan,>35,47,Widower,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,170.0,170.0,1,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),8.9,1.4,3.51
STD-4417,Enrolled,Masih Aktif,,99.1,Tinggi,Social Service,1st phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,121.4,145.0,6,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),9.4,-0.8,-3.12
STD-4319,Enrolled,Masih Aktif,,99.1,Tinggi,Informatics Engineering,1st phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,129.8,142.0,5,0,0.0,5,1,15.0,10.0,7.5,Kritis (<25%),10.8,1.4,1.74
STD-3722,Enrolled,Masih Aktif,,98.8,Tinggi,Communication Design,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,120.7,121.0,6,4,10.75,6,0,0.0,33.3,5.38,Rendah (25-50%),9.4,-0.8,-3.12
STD-4230,Enrolled,Masih Aktif,,98.7,Tinggi,Advertising & Marketing,2nd phase - general,Reguler (Siang),Laki-laki,<=20,20,Single,Ya,Menunggak,Tidak,Tidak,Tidak,Domestik,123.0,138.0,6,5,12.4,6,4,13.0,75.0,12.7,Sedang (50-75%),13.9,-0.3,0.79
STD-3723,Enrolled,Masih Aktif,,98.6,Tinggi,Informatics Engineering,Over 23 years old,Reguler (Siang),Laki-laki,24-27,24,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,100.9,133.1,5,1,12.0,5,3,10.5,40.0,11.25,Rendah (25-50%),10.8,1.4,1.74
STD-4406,Enrolled,Masih Aktif,,98.6,Tinggi,Informatics Engineering,1st phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,123.5,135.0,5,0,0.0,5,1,10.0,10.0,5.0,Kritis (<25%),7.6,2.6,0.32
STD-4372,Enrolled,Masih Aktif,,98.5,Tinggi,Veterinary Nursing,Over 23 years old,Reguler (Siang),Perempuan,>35,44,Divorced,Tidak,Menunggak,Ya,Tidak,Tidak,Domestik,154.6,140.0,6,4,12.75,6,2,10.0,50.0,11.38,Rendah (25-50%),8.9,1.4,3.51
STD-3938,Enrolled,Masih Aktif,,98.5,Tinggi,Informatics Engineering,Tech. specialization holder,Reguler (Siang),Laki-laki,<=20,20,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,150.0,150.0,5,0,0.0,5,2,10.5,20.0,5.25,Kritis (<25%),12.7,3.7,-1.7
STD-3976,Enrolled,Masih Aktif,,98.4,Tinggi,Veterinary Nursing,Short cycle holder,Reguler (Siang),Perempuan,24-27,24,Single,Ya,Menunggak,Tidak,Ya,Tidak,Domestik,130.0,130.0,9,8,13.125,9,6,13.0,77.8,13.06,Baik (>75%),8.9,1.4,3.51
STD-4163,Enrolled,Masih Aktif,,98.3,Tinggi,Social Service (eve),Over 23 years old,Kelas Malam,Perempuan,28-35,34,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,117.5,155.0,6,4,13.25,6,0,0.0,33.3,6.62,Rendah (25-50%),12.7,3.7,-1.7
STD-3900,Enrolled,Masih Aktif,,98.3,Tinggi,Oral Hygiene,International student,Reguler (Siang),Perempuan,<=20,19,Single,Ya,Lunas,Tidak,Tidak,Tidak,Internasional,137.0,137.0,7,0,0.0,7,2,11.666666666666666,14.3,5.83,Kritis (<25%),8.9,1.4,3.51
STD-4339,Enrolled,Masih Aktif,,98.2,Tinggi,Management,1st phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,115.2,126.0,5,1,10.0,5,2,10.0,30.0,10.0,Rendah (25-50%),12.4,0.5,1.79
STD-4225,Enrolled,Masih Aktif,,98.0,Tinggi,Animation & Multimedia,1st phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,118.8,123.0,10,5,11.0,7,2,10.0,41.2,10.5,Rendah (25-50%),8.9,1.4,3.51
STD-4144,Enrolled,Masih Aktif,,98.0,Tinggi,Journalism & Comm,Change of course,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,117.6,127.0,6,0,0.0,6,3,11.0,25.0,5.5,Kritis (<25%),16.2,0.3,-0.92
STD-3644,Enrolled,Masih Aktif,,97.8,Tinggi,Communication Design,2nd phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,130.2,127.0,6,5,11.4,6,1,10.0,50.0,10.7,Rendah (25-50%),10.8,1.4,1.74
STD-4260,Enrolled,Masih Aktif,,97.7,Tinggi,Social Service,Over 23 years old,Reguler (Siang),Laki-laki,28-35,28,Single,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,124.0,160.0,8,7,11.0,6,1,10.0,57.1,10.5,Sedang (50-75%),10.8,1.4,1.74
STD-4066,Enrolled,Masih Aktif,,97.7,Tinggi,Animation & Multimedia,1st phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Ya,Menunggak,Tidak,Tidak,Tidak,Domestik,118.1,130.0,0,0,0.0,0,0,0.0,0.0,0.0,Kritis (<25%),9.4,-0.8,-3.12
STD-4321,Enrolled,Masih Aktif,,97.6,Tinggi,Communication Design,Change of course,Reguler (Siang),Laki-laki,28-35,34,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,108.0,100.0,12,7,11.428571428571429,12,7,11.857142857142858,58.3,11.64,Sedang (50-75%),7.6,2.6,0.32
STD-4123,Enrolled,Masih Aktif,,97.6,Tinggi,Equinculture,1st phase - general,Reguler (Siang),Perempuan,21-23,21,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,123.0,138.0,5,1,11.0,5,2,10.5,30.0,10.75,Rendah (25-50%),12.7,3.7,-1.7
STD-3800,Enrolled,Masih Aktif,,97.6,Tinggi,Informatics Engineering,Over 23 years old,Reguler (Siang),Laki-laki,24-27,24,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,120.0,150.0,5,3,10.666666666666666,5,2,10.5,50.0,10.58,Rendah (25-50%),15.5,2.8,-4.06
STD-4046,Enrolled,Masih Aktif,,97.5,Tinggi,Informatics Engineering,Tech. specialization holder,Reguler (Siang),Laki-laki,21-23,22,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,140.0,140.0,5,0,0.0,5,2,11.666666666666666,20.0,5.83,Kritis (<25%),10.8,1.4,1.74
STD-4005,Enrolled,Masih Aktif,,97.5,Tinggi,Social Service,2nd phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,136.2,133.0,6,1,11.5,6,2,10.5,25.0,11.0,Kritis (<25%),7.6,2.6,0.32
STD-4231,Enrolled,Masih Aktif,,97.5,Tinggi,Informatics Engineering,1st phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,153.7,160.0,5,1,13.0,5,2,10.0,30.0,11.5,Rendah (25-50%),9.4,-0.8,-3.12
STD-4233,Enrolled,Masih Aktif,,97.5,Tinggi,Informatics Engineering,Tech. specialization holder,Reguler (Siang),Laki-laki,<=20,20,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,130.0,130.0,5,1,13.0,5,3,12.6,40.0,12.8,Rendah (25-50%),12.4,0.5,1.79
STD-4095,Enrolled,Masih Aktif,,97.4,Tinggi,Basic Education,1st phase - general,Reguler (Siang),Perempuan,21-23,22,Single,Ya,Menunggak,Tidak,Ya,Tidak,Domestik,95.0,133.1,7,6,11.5,7,6,13.166666666666666,85.7,12.33,Baik (>75%),11.1,0.6,2.02
STD-4380,Enrolled,Masih Aktif,,97.4,Tinggi,Management,Change of course,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,123.7,131.0,5,1,14.0,5,1,14.0,20.0,14.0,Kritis (<25%),7.6,2.6,0.32
STD-4378,Enrolled,Masih Aktif,,97.3,Tinggi,Basic Education,3rd phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,110.0,110.0,6,4,12.75,6,3,11.333333333333334,58.3,12.04,Sedang (50-75%),10.8,1.4,1.74
STD-3954,Enrolled,Masih Aktif,,97.3,Tinggi,Veterinary Nursing,Change of course,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Menunggak,Tidak,Ya,Tidak,Domestik,130.0,130.0,6,5,13.0,6,3,11.666666666666666,66.7,12.33,Sedang (50-75%),13.9,-0.3,0.79
